Time (seconds),Unsuccessful,Successful
0,0,0
0.375036867,181.31550784312626,778.590121914601
0.750073734,141.3194399365543,730.5948404267147
1.125110601,53.32809054209596,730.5948404267147
1.500147468,175.98269878891668,653.2691091406755
1.875184335,117.32179919261111,714.5964132640859
2.250221202,74.65932675893434,669.2675363033043
2.625258069,63.99370865051515,597.2746140714747
3.000294936,53.32809054209596,554.612141637798
3.375331803,77.32573128603914,677.2667498846187
3.75036867,114.65539466550631,642.6034910322563
4.125405537,994.5688886100896,581.276186908846
4.500442404,4111.595780795598,0
4.875479271,4322.241738436877,0
5.250516138,5042.170960755173,0
5.6255530049999996,3157.0229600920807,0
6.000589872,2983.706665830269,0
6.375626739,4543.553314186575,0
6.750663606,5647.444788407962,0
7.125700473,3612.978134227001,0
7.50073734,9233.758877363915,0
7.875774207,7396.60615818871,0
8.250811074,6801.99794864434,0
8.625847941,11318.887217559868,0
9.000884808,8271.186843079084,0
9.375921675,3898.283418627215,0
9.750958542,7961.883917934927,0
10.125995409,5687.440856314534,0
10.501032276,9116.437078171304,0
10.876069143,12044.149248932372,0
11.251106009999999,5804.762655507146,0
11.626142877,5652.777597462172,0
12.001179744,7012.643906285619,0
12.376216611,9055.109774047894,0
12.751253478,9735.042928459618,0
13.126290345,5503.458943944303,0
13.501327212,8519.162464099829,0
13.876364079,6100.733558015778,0
14.251400946,10023.014617386936,0
14.626437812999999,3420.9970082754558,0
